ucf_class,behavior,intra_class_variance,distance_from_ssv2_center,within_class_similarity,embedding_norm,top1_prob_mean,top1_prob_std,n_videos
PommelHorse,HIGH_CONF_INCONSISTENT,0.1611464255049806,0.18367911930840441,0.9346876625583153,53.06192709698193,0.4197548195719719,0.2603337266914246,10
PullUps,LOW_CONF_SCATTERED,0.6286193237055476,0.15916306551764559,0.7533556294874402,53.77003216904302,0.23043564483523366,0.09536303809499656,10
Punch,HIGH_CONF_INCONSISTENT,0.3480005050797792,0.11790108143456013,0.8473246909064786,50.85849260808427,0.5226568922400474,0.22871584368100753,10
PushUps,HIGH_CONF_CONSISTENT,0.3797897770333025,0.2874503527365526,0.8614731490759421,55.81266333382051,0.47991840094327926,0.29224976679970915,10
Rafting,HIGH_CONF_INCONSISTENT,0.42496355052583856,0.23755587210115436,0.8530974993433089,57.356859307639624,0.4840686395764351,0.28984004182320233,10
RockClimbingIndoor,LOW_CONF_SCATTERED,0.3278412075006384,0.22705408124495596,0.865643983966637,52.45433020971318,0.22692692428827282,0.12434258239954488,10
RopeClimbing,LOW_CONF_SCATTERED,0.24278254175344652,0.12860427786450634,0.890926201331176,50.27902123495526,0.34505744874477384,0.13751269027359614,10
Rowing,HIGH_CONF_INCONSISTENT,0.3000029598185594,0.14657206678964252,0.880956421593328,53.45207568845954,0.4223112612962723,0.17215345976465368,10
SalsaSpin,LOW_CONF_SCATTERED,0.2364478605714646,0.12272884329185452,0.8888751295576723,49.310284845175815,0.1943739518523216,0.0842234875766385,10
ShavingBeard,HIGH_CONF_INCONSISTENT,0.3574487392675473,0.14208997604921447,0.8331500356063781,49.265924255978575,0.552592059969902,0.2627935535763098,10
Shotput,HIGH_CONF_INCONSISTENT,0.28432370226344894,0.12923801057917572,0.8837442484033986,51.69974775780825,0.4501776933670044,0.18223332248425098,10
SkateBoarding,HIGH_CONF_INCONSISTENT,0.39238111248875784,0.10009573342690792,0.8244626163643395,50.22417131729986,0.498182213306427,0.22854103997323544,10
Skiing,HIGH_CONF_INCONSISTENT,0.26991137120776454,0.19188811511811288,0.8892268676637614,52.50376172955872,0.48670824617147446,0.17488702609809192,10
Skijet,LOW_CONF_SCATTERED,0.2792825524101205,0.32398598171356574,0.9091186029974262,58.66563036768812,0.27977964133024213,0.1251483419939621,10
SkyDiving,HIGH_CONF_INCONSISTENT,0.3144719544470128,0.22606398816749185,0.8764956495958978,53.54786166254964,0.42652356028556826,0.2087462519411903,10
SoccerJuggling,HIGH_CONF_INCONSISTENT,0.380442673017005,0.14768848149096714,0.8347840065947868,51.182942178530396,0.44095743298530576,0.12554650293545477,10
SoccerPenalty,HIGH_CONF_INCONSISTENT,0.16886507118841332,0.18111630786520072,0.9318253046105706,52.957962346705656,0.5485075652599335,0.33676545080543063,10
StillRings,HIGH_CONF_CONSISTENT,0.2866265596097634,0.10811419132716149,0.8680147633508047,49.48174883624718,0.5387472152709961,0.1321066522851213,10
SumoWrestling,LOW_CONF_SCATTERED,0.36467269444190636,0.05572044559669709,0.8281132429354259,49.049903925118514,0.2908536002039909,0.21174952746240047,10
Surfing,LOW_CONF_SCATTERED,0.27313577703812164,0.40685963305246764,0.9257769512601843,63.87520595698711,0.213365813344717,0.07719972178348868,10
